% Daily open value of the Dow Jones Industrial (DJI) Average 
%                  from 1/1/14 to 2/17/19
%
%   Normalized        Open 
%      Time           Value                
%
%      (x)              (y)
%
   2.3196276e-01   1.7626840e+04
   2.3273856e-01   1.7889051e+04
   2.3351435e-01   1.7751240e+04
   2.3429015e-01   1.7972221e+04
   2.3506594e-01   1.7846801e+04
   2.3584174e-01   1.8072580e+04
   2.3661753e-01   1.7961131e+04
   2.3739333e-01   1.8136730e+04
   2.3816912e-01   1.8110869e+04
   2.3894492e-01   1.8012609e+04
   2.3972071e-01   1.7716270e+04
   2.4049651e-01   1.7673631e+04
   2.4127230e-01   1.7727480e+04
   2.4204810e-01   1.7965369e+04
   2.4282389e-01   1.7778520e+04
   2.4359969e-01   1.7699520e+04
   2.4437548e-01   1.7755500e+04
   2.4515128e-01   1.7884320e+04
   2.4592708e-01   1.7877619e+04
   2.4670287e-01   1.7902510e+04
   2.4747867e-01   1.7956730e+04
   2.4825446e-01   1.8052320e+04
   2.4903026e-01   1.7979109e+04
   2.4980605e-01   1.8045711e+04
   2.5058185e-01   1.8106270e+04
   2.5135764e-01   1.8102561e+04
   2.5213344e-01   1.7841180e+04
   2.5290923e-01   1.8034230e+04
   2.5368503e-01   1.7950820e+04
   2.5446082e-01   1.8031900e+04
   2.5523662e-01   1.8056420e+04
   2.5601241e-01   1.8097891e+04
   2.5678821e-01   1.8035900e+04
   2.5756400e-01   1.8093689e+04
   2.5833980e-01   1.8033330e+04
   2.5911559e-01   1.7859270e+04
   2.5989139e-01   1.8026020e+04
   2.6066718e-01   1.8062529e+04
   2.6144298e-01   1.7934811e+04
   2.6221877e-01   1.7840250e+04
   2.6299457e-01   1.7933641e+04
   2.6377036e-01   1.8187779e+04
   2.6454616e-01   1.8096160e+04
   2.6532196e-01   1.8070369e+04
   2.6609775e-01   1.8062490e+04
   2.6687355e-01   1.8251971e+04
   2.6764934e-01   1.8267250e+04
   2.6842514e-01   1.8300480e+04
   2.6920093e-01   1.8315061e+04
   2.6997673e-01   1.8285869e+04
   2.7075252e-01   1.8286869e+04
   2.7152832e-01   1.8229750e+04
   2.7230411e-01   1.8045080e+04
   2.7307991e-01   1.8154141e+04
   2.7385570e-01   1.8128119e+04
   2.7463150e-01   1.8017820e+04
   2.7540729e-01   1.8033330e+04
   2.7618309e-01   1.8018420e+04
   2.7695888e-01   1.8072471e+04
   2.7773468e-01   1.7905381e+04
   2.7851047e-01   1.7849461e+04
   2.7928627e-01   1.7766949e+04
   2.8006206e-01   1.7765381e+04
   2.8083786e-01   1.8001270e+04
   2.8161365e-01   1.8035830e+04
   2.8238945e-01   1.7890760e+04
   2.8316524e-01   1.7787430e+04
   2.8394104e-01   1.7909580e+04
   2.8471683e-01   1.7944609e+04
   2.8549263e-01   1.8116240e+04
   2.8626843e-01   1.8027631e+04
   2.8704422e-01   1.8121779e+04
   2.8782002e-01   1.8139100e+04
   2.8859581e-01   1.7977109e+04
   2.8937161e-01   1.7892029e+04
   2.9014740e-01   1.7936740e+04
   2.9092320e-01   1.7599961e+04
   2.9169899e-01   1.7638119e+04
   2.9247479e-01   1.7763320e+04
   2.9325058e-01   1.7728080e+04
   2.9402638e-01   1.7684920e+04
   2.9480217e-01   1.7759010e+04
   2.9557797e-01   1.7530381e+04
   2.9635376e-01   1.7561119e+04
   2.9712956e-01   1.7787270e+04
   2.9790535e-01   1.7974609e+04
   2.9868115e-01   1.8053381e+04
   2.9945694e-01   1.8078160e+04
   3.0023274e-01   1.8117580e+04
   3.0100853e-01   1.8085910e+04
   3.0178433e-01   1.8096670e+04
   3.0256012e-01   1.7918350e+04
   3.0333592e-01   1.7853779e+04
   3.0411171e-01   1.7731051e+04
   3.0488751e-01   1.7561779e+04
   3.0566330e-01   1.7449811e+04
   3.0643910e-01   1.7631400e+04
   3.0721490e-01   1.7743240e+04
   3.0799069e-01   1.7755869e+04
   3.0876649e-01   1.7696740e+04
   3.0954228e-01   1.7596930e+04
   3.1031808e-01   1.7555240e+04
   3.1109387e-01   1.7542609e+04
   3.1186967e-01   1.7414939e+04
   3.1264546e-01   1.7375180e+04
   3.1342126e-01   1.7593590e+04
   3.1419705e-01   1.7382930e+04
   3.1497285e-01   1.7401641e+04
   3.1574864e-01   1.7410119e+04
   3.1652444e-01   1.7472660e+04
   3.1730023e-01   1.7537301e+04
   3.1807603e-01   1.7508740e+04
   3.1885182e-01   1.7345320e+04
   3.1962762e-01   1.6990689e+04
   3.2040341e-01   1.6459750e+04
   3.2117921e-01   1.5882270e+04
   3.2195500e-01   1.5676260e+04
   3.2273080e-01   1.6285510e+04
   3.2350659e-01   1.6649420e+04
   3.2428239e-01   1.6632020e+04
   3.2505818e-01   1.6528029e+04
   3.2583398e-01   1.6058350e+04
   3.2660978e-01   1.6364340e+04
   3.2738557e-01   1.6371760e+04
   3.2816137e-01   1.6109930e+04
   3.2893716e-01   1.6505039e+04
   3.2971296e-01   1.6252570e+04
   3.3048875e-01   1.6330400e+04
   3.3126455e-01   1.6450859e+04
   3.3204034e-01   1.6382580e+04
   3.3281614e-01   1.6599510e+04
   3.3359193e-01   1.6738080e+04
   3.3436773e-01   1.6674740e+04
   3.3514352e-01   1.6406100e+04
   3.3591932e-01   1.6477449e+04
   3.3669511e-01   1.6332810e+04
   3.3747091e-01   1.6257110e+04
   3.3824670e-01   1.6205070e+04
   3.3902250e-01   1.6313260e+04
   3.3979829e-01   1.6001760e+04
   3.4057409e-01   1.6057080e+04
   3.4134988e-01   1.6278620e+04
   3.4212568e-01   1.6258250e+04
   3.4290147e-01   1.6502100e+04
   3.4367727e-01   1.6774020e+04
   3.4445306e-01   1.6805420e+04
   3.4522886e-01   1.6904170e+04
   3.4600465e-01   1.7054689e+04
   3.4678045e-01   1.7082289e+04
   3.4755625e-01   1.7113551e+04
   3.4833204e-01   1.7079080e+04
   3.4910784e-01   1.6944859e+04
   3.4988363e-01   1.7141750e+04
   3.5065943e-01   1.7209430e+04
   3.5143522e-01   1.7228471e+04
   3.5221102e-01   1.7225930e+04
   3.5298681e-01   1.7180881e+04
   3.5376261e-01   1.7525109e+04
   3.5453840e-01   1.7649570e+04
   3.5531420e-01   1.7608891e+04
   3.5608999e-01   1.7586689e+04
   3.5686579e-01   1.7771500e+04
   3.5764158e-01   1.7756600e+04
   3.5841738e-01   1.7672619e+04
   3.5919317e-01   1.7819740e+04
   3.5996897e-01   1.7929580e+04
   3.6074476e-01   1.7871250e+04
   3.6152056e-01   1.7855221e+04
   3.6229635e-01   1.7900779e+04
   3.6307215e-01   1.7724131e+04
   3.6384794e-01   1.7769500e+04
   3.6462374e-01   1.7691930e+04
   3.6539953e-01   1.7439250e+04
   3.6617533e-01   1.7229939e+04
   3.6695112e-01   1.7486990e+04
   3.6772692e-01   1.7485490e+04
   3.6850272e-01   1.7739830e+04
   3.6927851e-01   1.7732750e+04
   3.7005431e-01   1.7823609e+04
   3.7083010e-01   1.7770900e+04
   3.7160590e-01   1.7820811e+04
   3.7238169e-01   1.7806039e+04
   3.7315749e-01   1.7802840e+04
   3.7393328e-01   1.7719721e+04
   3.7470908e-01   1.7883141e+04
   3.7548487e-01   1.7741570e+04
   3.7626067e-01   1.7482680e+04
   3.7703646e-01   1.7845490e+04
   3.7781226e-01   1.7703990e+04
   3.7858805e-01   1.7558180e+04
   3.7936385e-01   1.7493170e+04
   3.8013964e-01   1.7574750e+04
   3.8091544e-01   1.7277109e+04
   3.8169123e-01   1.7374779e+04
   3.8246703e-01   1.7530850e+04
   3.8324282e-01   1.7756539e+04
   3.8401862e-01   1.7495039e+04
   3.8479441e-01   1.7154939e+04
   3.8557021e-01   1.7253551e+04
   3.8634600e-01   1.7427631e+04
   3.8712180e-01   1.7593260e+04
   3.8789760e-01   1.7535660e+04
   3.8867339e-01   1.7547369e+04
   3.8944919e-01   1.7711939e+04
   3.9022498e-01   1.7590660e+04
   3.9100078e-01   1.7405480e+04
   3.9177657e-01   1.7147500e+04
   3.9255237e-01   1.7154830e+04
   3.9332816e-01   1.6888359e+04
   3.9410396e-01   1.6519170e+04
   3.9487975e-01   1.6358710e+04
   3.9565555e-01   1.6419109e+04
   3.9643134e-01   1.6526631e+04
   3.9720714e-01   1.6159010e+04
   3.9798293e-01   1.6354330e+04
   3.9875873e-01   1.6009450e+04
   3.9953452e-01   1.5989450e+04
   4.0031032e-01   1.5768870e+04
   4.0108611e-01   1.5921100e+04
   4.0186191e-01   1.6086460e+04
   4.0263770e-01   1.5893160e+04
   4.0341350e-01   1.6168740e+04
   4.0418929e-01   1.5960280e+04
   4.0496509e-01   1.6090260e+04
   4.0574088e-01   1.6453631e+04
   4.0651668e-01   1.6420211e+04
   4.0729247e-01   1.6186200e+04
   4.0806827e-01   1.6329670e+04
   4.0884407e-01   1.6417949e+04
   4.0961986e-01   1.6147510e+04
   4.1039566e-01   1.6005410e+04
   4.1117145e-01   1.6035610e+04
   4.1194725e-01   1.5897820e+04
   4.1272304e-01   1.5691620e+04
   4.1349884e-01   1.6012390e+04
   4.1427463e-01   1.6217980e+04
   4.1505043e-01   1.6483760e+04
   4.1582622e-01   1.6410961e+04
   4.1660202e-01   1.6417131e+04
   4.1737781e-01   1.6610391e+04
   4.1815361e-01   1.6418840e+04
   4.1892940e-01   1.6504381e+04
   4.1970520e-01   1.6712699e+04
   4.2048099e-01   1.6634150e+04
   4.2125679e-01   1.6545670e+04
   4.2203258e-01   1.6851170e+04
   4.2280838e-01   1.6896170e+04
   4.2358417e-01   1.6945000e+04
   4.2435997e-01   1.6991289e+04
   4.2513576e-01   1.7050670e+04
   4.2591156e-01   1.6969170e+04
   4.2668735e-01   1.7006051e+04
   4.2746315e-01   1.7014990e+04
   4.2823894e-01   1.7207490e+04
   4.2901474e-01   1.7217150e+04
   4.2979054e-01   1.7249340e+04
   4.3056633e-01   1.7321381e+04
   4.3134213e-01   1.7481490e+04
   4.3211792e-01   1.7589699e+04
   4.3289372e-01   1.7602711e+04
   4.3366951e-01   1.7588811e+04
   4.3444531e-01   1.7485330e+04
   4.3522110e-01   1.7526080e+04
   4.3599690e-01   1.7512580e+04
   4.3677269e-01   1.7652359e+04
   4.3754849e-01   1.7716051e+04
   4.3832428e-01   1.7661740e+04
   4.3910008e-01   1.7799391e+04
   4.3987587e-01   1.7718029e+04
   4.4065167e-01   1.7605449e+04
   4.4142746e-01   1.7687279e+04
   4.4220326e-01   1.7555391e+04
   4.4297905e-01   1.7586480e+04
   4.4375485e-01   1.7571340e+04
   4.4453064e-01   1.7741660e+04
   4.4530644e-01   1.7912250e+04
   4.4608223e-01   1.7925949e+04
   4.4685803e-01   1.7890199e+04
   4.4763382e-01   1.8012100e+04
   4.4840962e-01   1.8059490e+04
   4.4918542e-01   1.8092840e+04
   4.4996121e-01   1.7985051e+04
   4.5073701e-01   1.7990939e+04
   4.5151280e-01   1.7987381e+04
   4.5228860e-01   1.7996141e+04
   4.5306439e-01   1.8023881e+04
   4.5384019e-01   1.7813090e+04
   4.5461598e-01   1.7783779e+04
   4.5539178e-01   1.7870750e+04
   4.5616757e-01   1.7735020e+04
   4.5694337e-01   1.7664480e+04
   4.5771916e-01   1.7650301e+04
   4.5849496e-01   1.7743850e+04
   4.5927075e-01   1.7726660e+04
   4.6004655e-01   1.7919029e+04
   4.6082234e-01   1.7711119e+04
   4.6159814e-01   1.7711119e+04
   4.6237393e-01   1.7531760e+04
   4.6314973e-01   1.7701461e+04
   4.6392552e-01   1.7501279e+04
   4.6470132e-01   1.7514160e+04
   4.6547711e-01   1.7437320e+04
   4.6625291e-01   1.7507039e+04
   4.6702870e-01   1.7525189e+04
   4.6780450e-01   1.7735090e+04
   4.6858029e-01   1.7859520e+04
   4.6935609e-01   1.7826850e+04
   4.7013189e-01   1.7891500e+04
   4.7090768e-01   1.7754551e+04
   4.7168348e-01   1.7789051e+04
   4.7245927e-01   1.7799801e+04
   4.7323507e-01   1.7825689e+04
   4.7401086e-01   1.7936221e+04
   4.7478666e-01   1.7931910e+04
   4.7556245e-01   1.7969980e+04
   4.7633825e-01   1.7938820e+04
   4.7711404e-01   1.7830500e+04
   4.7788984e-01   1.7710770e+04
   4.7866563e-01   1.7703650e+04
   4.7944143e-01   1.7602230e+04
   4.8021722e-01   1.7733439e+04
   4.8099302e-01   1.7736869e+04
   4.8176881e-01   1.7827330e+04
   4.8254461e-01   1.7832670e+04
   4.8332040e-01   1.7844109e+04
   4.8409620e-01   1.7946631e+04
   4.8487199e-01   1.7355211e+04
   4.8564779e-01   1.7190510e+04
   4.8642358e-01   1.7456020e+04
   4.8719938e-01   1.7712760e+04
   4.8797517e-01   1.7924240e+04
   4.8875097e-01   1.7904449e+04
   4.8952676e-01   1.7807471e+04
   4.9030256e-01   1.7924240e+04
   4.9107836e-01   1.7971221e+04
   4.9185415e-01   1.8161529e+04
   4.9262995e-01   1.8259119e+04
   4.9340574e-01   1.8356779e+04
   4.9418154e-01   1.8414301e+04
   4.9495733e-01   1.8508881e+04
   4.9573313e-01   1.8521551e+04
   4.9650892e-01   1.8503119e+04
   4.9728472e-01   1.8582699e+04
   4.9806051e-01   1.8589961e+04
   4.9883631e-01   1.8524150e+04
   4.9961210e-01   1.8554490e+04
   5.0038790e-01   1.8497369e+04
   5.0116369e-01   1.8473270e+04
   5.0193949e-01   1.8461010e+04
   5.0271528e-01   1.8442520e+04
   5.0349108e-01   1.8434500e+04
   5.0426687e-01   1.8401150e+04
   5.0504267e-01   1.8313080e+04
   5.0581846e-01   1.8351430e+04
   5.0659426e-01   1.8402801e+04
   5.0737005e-01   1.8541891e+04
   5.0814585e-01   1.8538051e+04
   5.0892164e-01   1.8541480e+04
   5.0969744e-01   1.8519080e+04
   5.1047324e-01   1.8595650e+04
   5.1124903e-01   1.8588590e+04
   5.1202483e-01   1.8614480e+04
   5.1280062e-01   1.8537090e+04
   5.1357642e-01   1.8566539e+04
   5.1435221e-01   1.8585170e+04
   5.1512801e-01   1.8535859e+04
   5.1590380e-01   1.8568939e+04
   5.1667960e-01   1.8537500e+04
   5.1745539e-01   1.8471211e+04
   5.1823119e-01   1.8467920e+04
   5.1900698e-01   1.8421289e+04
   5.1978278e-01   1.8491279e+04
   5.2055857e-01   1.8436699e+04
   5.2133437e-01   1.8396570e+04
   5.2211016e-01   1.8466010e+04
   5.2288596e-01   1.8493400e+04
   5.2366175e-01   1.8527711e+04
   5.2443755e-01   1.8486689e+04
   5.2521334e-01   1.8404170e+04
